HTTPURL and @User,Class Weights,Dataset Type,Lemmatization,Model Type,1,2,5,10,20,30,40,50,Learning Rate
1,1,1,1,GRU,164|5226|57|228,170|5236|47|222,174|5190|93|218,171|5155|128|221,169|5168|115|223,162|5173|110|230,163|5183|100|229,163|5183|100|229,0.001
1,1,1,2,GRU,0|5307|0|368,90| 5263|44|278,157|5220|87|211,176|5219|88|192,166|5211|96|202,166|5187|120|202,166|5170|137|202,167|5155|152|201,0.0001
1,1,2,1,GRU,619|17604|5749|811,755|13323|10030|675,797|12769|10584|633,755|13443|9910|675,744|13357| 9996|686,742|13353|10000|688,745|13279|10074|685,740|13265|10088|690,0.006
1,1,2,2,GRU,878|12389|10964|552,784|15078|8275|646,876|14034|9319|554,885|13176|10177|545,855|13021|10332|575,830|13514|9839|600,823|13621|9732|607,857|12976|10377|573,0.0007
1,2,1,1,GRU,295|4753|550|77,290|4676|627|82,248|4842|461|124,238|4909|394|134,230|4881|422|142,233|4842|461|139,232|4800|503|140,246|4747|556|126,0.008
1,2,1,2,GRU,287|4816|494|78,278|4794|516|87,240|4943|367|125,231|4929|381|134,242|4786|524|123,229|4881|429|136,212|4899|411|153,239|4698|612|126,0.009
1,2,2,1,GRU,1430|0|23353|0,1430|0|23353|0,1430|0|23353|0,1420|404|22949|10,1169|7865|15488|261,1147|8008|15345|283,1068|10304|13049|362,996|12200|11153|434,0.0001
1,2,2,2,GRU,1430|0|23353|0,1430|0|23353|0,1430|0|23353|0,1425|317|23036|5,1294|4185|19168|136,1180|6901|16452|250,1142|7786|15567|288,1166|7273|16080|264,0.0001
2,1,1,1,GRU,0|5271|0|404,67|5245|26|337,171|5193|78|233,185|5185|86|219,193|5174|97|211,195|5143|128|209,190|5124|147|214,187|5116|155|217,0.0001
2,1,1,2,GRU,165|5244|50|216,176|5245|49|205,183|5217|77|198,182|5199|95|199,183|5200|94|198,172|5200|94|209,182|5163|131|199,177|5182|112|204,0.001
2,1,2,1,GRU,808|14732|8621|622,879|14580|8773|551,804|14977|8376|626,947|12691|10662|483,749|15528|7825|681,836|14002|9351|594,793|14878|8475|637,908|12307|11046|522,0.001
2,1,2,2,GRU,934|11041|12312|496,920|10930|12423|510,834|14599|8754|596,755|16493|6860|675,747|16924|6429|683,766|16589|6764|664,790|16101|7252|640,787|16164|7189|643,0.0004
2,2,1,1,GRU,304|4655|646|70,289|4855|446|85,254|4973|328|120,224|5057|244|150,224|4954|347|150,221|4922|379|153,216|4936|365|158,213|4921|380|161,0.001
2,2,1,2,GRU,302|4746|561|66,281|4883|424|87,231|4992|315|137,214|5054|253|154,219|4976|331|149,207|5009|298|161,223|4933|374|145,224|4866|441|144,0.002
